portee,OH_NUM
1,1528
1,2707
2,2086
2,2092
2,2709
2,1536
2,1532
2,1469
2,1538
2,1481
2,1529
2,1531
2,1472
2,1541
2,1473
2,1530
2,1466
2,1534
2,1475
2,1539
2,1542
2,1464
2,1535
2,1543
2,1482
2,1537
2,1476
2,1540
1,1931
1,1957
1,1928
1,1962
1,1960
1,1961
1,1908
1,1923
1,1924
1,1952
1,1959
1,1954
1,1916
1,1913
1,1943
1,1938
1,1956
1,1914
1,1944
1,1918
1,1937
1,1919
1,1926
1,1963
1,1925
1,1935
1,1950
1,1946
1,1932
1,1939
1,1929
1,1940
1,1910
1,1936
1,1917
1,1934
1,1955
1,1912
1,1927
1,1949
1,1945
1,1907
1,1909
1,1920
1,1933
1,1942
1,1951
1,1921
1,1947
1,1915
1,1922
1,1948
1,1941
1,1930
1,1911
1,1958
1,1953
2,45
2,14
2,2021
2,2711
2,2026
2,2710
3,1314
2,1723
2,1491
2,1462
2,1507
2,1508
2,1509
2,1533
4,1520
4,1521
4,1522
4,1523
4,1524
1,34
1,38
1,1461
1,1489
1,12
1,1794
1,2706
2,2301
1,1270
1,1271
1,1802
1,2004
1,2007
1,2094
1,1262
1,2087
1,1264
1,1263
1,1259
1,1267
1,2003
1,1260
1,1207
1,1208
1,1210
1,1211
1,2023
1,2024
1,1265
1,1266
1,2027
1,2025
1,2028
1,2031
1,2032
1,1272
1,2042
1,2043
1,2046
1,2057
1,1274
1,2081
1,2093
1,2084
1,1269
1,2080
1,1896
1,1782
1,2010
1,2718
1,1858
1,1859
3,40
3,7
3,13
4,15
1,1460
1,1459
1,24
1,35
1,36
1,1857
1,25
1,47
1,28
1,1502
1,1525
1,1526
3,1511
3,1512
3,1513
3,1514
3,1515
3,1516
1,5
1,1492
1,1486
1,1477
1,1503
4,1480
1,31
1,16
1,33
1,1463
1,1504
1,1519
1,1465
1,1479
1,1496
1,1497
1,1490
1,1471
1,1498
1,1499
1,1500
1,1517
1,1468
1,32
1,46
1,1470
1,1493
1,1494
1,1518
1,4
1,1501
1,1527
1,39
2,23
4,2304
1,2705
1,1837
1,1833
1,1860
1,2018
1,1834
3,1315
3,6
1,2098
1,2079
1,2001
1,2305
1,2306
1,1268
2,11
1,1483
1,1474
2,1478
3,1313
3,1311
3,1312
3,1487
4,222
1,1244
2,202
1,2702
2,1743
1,2701
1,2698
1,2699
1,2700
1,2697
1,2703
1,2704
3,983
3,1789
2,2664
3,2659
2,2663
2,2577
2,2581
2,2471
2,2575
3,2660
3,104
3,985
3,987
1,604
1,221
2,2798
1,1765
1,1764
2,1770
1,1792
3,1759
3,1904
2,1630
1,237
1,1776
1,1702
1,1701
2,1760
1,405
